,news_text
0,"นายสุวพงศ์ กิติภัทย์พิบูลย์ ผู้ว่าราชการจังหวัดสุรินทร์ เปิดเผยว่า จังหวัดสุรินทร์พบมีผู้ป่วยยืนยันโรคติดเชื้อโควิด-19 นับตั้งแต่มีการระบาดระลอกใหม่ ถึงวันที่ 31 สิงหาคม 2564 สะสมกว่า 12,541 ราย รักษาหายแล้วกว่า 8,606 ราย เสียชีวิต 40 ราย ซึ่งจังหวัดสุรินทร์ได้เน้นย้ำให้ทุกคนปฏิบัติตาม มาตรการด้านสาธารณสุขอย่างเข้มงวด"
1,สำนักงานประชาสัมพันธ์จังหวัดแพร่รายงานว่า วันนี้ (1ก.ย.64) เวลา 13.30 น. ณ ห้องประชุมเวียงโกศัย ศาลากลางจังหวัดแพร่ นายสมหวัง พ่วงบางโพ ผู้ว่าราชการจังหวัดแพร่ เป็นประธานการประชุมคณะกรรมการโรคติดต่อครั้งที่ 30/2564 ร่วมกับคณะทำงานศูนย์ปฏิบัติการควบคุมโรคหน่วยงานภาครัฐและเอกชนที่เกี่ยวข้องเพื่อรับทราบสถานการณ์โรคโควิด-19 ผลการดำเนินงานให้บริการวัคซีนของจังหวัดแพร่
2,วันนี้ 1 ก.ย.64 นายอิสมาแอ มะสาลัง อิหม่ามประจำมัสยิดอัสซุนนะฮ์ บ้านกาแป๊ะฮูลู พร้อมคณะกรรมการมัสยิด ได้เดินทางเข้ารับการฉีดวัคซีนโควิด 19 ที่โรงพยาบาลเบตง โดยมีบุคลากรทางการแพทย์ โรงพยาบาลเบตง บริการฉีดวัคซีนให้เข็มแรกและเข็มที่สอง ไฟเซอร์ และแอสตร้าเซนเนก้า รวมไปถึงทีมงาน The Kop Betong ที่เข้ารับการฉีดวัคซีน ชิโนฟาร์ม ทั้งนี้เพื่อสร้างภูมิคุ้มกันหมู่ในอำเภอเบตง
3,กองกำลังป้องกันอิสราเอล ประกาศเตรียมกำหนดให้กำลังพลของกองทัพเข้ารับการฉีดวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค เข็มที่ 3 หรือวัคซีนเข็มกระตุ้น หลังฉีดวัคซีนเข็มที่ 2 มาแล้ว อย่างน้อย 5 เดือน เพื่อยกระดับการควบคุมการระบาดของเชื้อโควิด-19 สายพันธุ์เดลตา หลังทางการอิสราเอลขยายโครงการฉีดวัคซีนโควิด-19 เข็มที่ 3 ให้ครอบคลุมประชาชนที่มีอายุ 12 ปีขึ้นไป รวมถึงบุคลากรทางการศึกษา บุคลากรทางการแพทย์ และหญิงตั้งครรภ์ ทุกช่วงอายุ
4,"คณะรัฐมนตรีมีมติอนุมัติวงเงิน 4,745 ล้านบาท สำหรับการจัดซื้อวัคซีนไฟเซอร์ เพิ่มเติมอีก จำนวน 9,998,820 โดส เพื่อเสริมสร้างภูมิคุ้มกันโรคแก่กลุ่มเป้าหมายหลัก 6 กลุ่ม ได้แก่"
5,นายแพทย์เกียรติภูมิ วงศ์รจิต ปลัดกระทรวงสาธารณสุข กล่าวว่า ในการบริหารจัดการเรื่องวัคซีน ดำเนินการภายใต้คณะกรรมการวิชาการจากทุกสาขาได้คิดค้น พัฒนา ปรับปรุง ทั้งการส่งเสริมสุขภาพ ป้องกันโรค ดูแลบำบัดรักษาและให้วัคซีนครบวงจร ตั้งแต่เดือนกุมภาพันธ์ถึงปัจจุบัน ฉีดไปแล้ว 32 ล้านโดส เป็นไปตามแผนการจัดการวัคซีน ซึ่งเป็นการใช้ทรัพยากรที่มีอย่างจำกัดและคุ้มค่าที่สุดภายใต้หลักฐานทางวิชาการที่ได้มีการวิจัย ทดลอง สังเกต นำมาประยุกต์ใช้  โดยวัคซีนสูตรไขว้ซิโนแวคตามด้วยแอสตร้าเซนเนก้า จะเป็นวัคซีนพื้นฐานที่ฉีดให้กับประชาชน ยืนยันว่ามีความปลอดภัย ระยะต่อไปเมื่อมีวัคซีนเข้ามามากขึ้น ทั้งแอสตร้าเซนเนก้า ไฟเซอร์ โมเดิร์นนา ซิโนฟาร์ม จะหาแนวทางเพิ่มประสิทธิภาพวัคซีน ให้ทันกับสถานการณ์สู้กับการกลายพันธุ์ของไวรัสเพื่อประโยชน์สูงสุดแก่ประชาชน
6,"จังหวัดอุดรธานีกลุ่มเสี่ยง 608 ที่ฉีด ""แอสตราฯ"" เข็มแรกต้องการบูสเข็ม 2 ด้ว ""ไฟเซอร์"" แจ้งหน่วยฉีดใกล้บ้านก่อนวันที่ 14 กันยายนนี้"
7,"วันนี้ (2 กันยายน 2564) ศูนย์ปฏิบัติการฉุกเฉินด้านการแพทย์และสาธารณสุขจังหวัดเลย รายงานสถานการณ์โรคโควิด-19 ในจังหวัดเลย ซึ่งวันนี้พบผู้ป่วยติดเชื้อโควิด-19 เพิ่มขึ้น จำนวน 19 ราย โดยเป็นผู้ป่วยที่ติดเชื้อในพื้นที่ 2 ราย และนอกพื้นที่ 17 ราย รวมมีผู้ป่วยสะสมแล้ว จำนวน 2,632 ราย กำลังรักษาตัวอยู่ 455 ราย หายป่วยกลับบ้านวันนี้ 24 ราย และยังคงมีผู้สัมผัสเสี่ยงสูงต้องติดตามอีก 309 ราย สำหรับผู้ป่วยที่ติดเชื้อในพื้นที่ 2 ราย เพศหญิง อายุ 49 ปี มีภูมิลำเนาบ้านโนนถาวร ตำบลเอราวัณ อำเภอเอราวัณ และเพศชาย อายุ 65 ปี ภูมิลำเนาบ้านโป่งศรีโทน ตำบลเอราวัณ อำเภอเอราวัณ  มีประวัติสัมผัสเสี่ยงกับผู้ป่วยยืนยันก่อนหน้านี้"
8,"นายสุวัฒน์ อุบลทัศนีย์ นักวิชาการสาธารณสุขชำนาญการ กลุ่มงานควบคุมโรคติดต่อ สำนักงานสาธารณสุขจังหวัดสุพรรณบุรี เปิดเผยว่า ภาพรวมสถานการณ์โควิด -19 ของจังหวัดสุพรรณบุรี เรามีผู้ป่วยตั้งแต่เริ่มต้นจนถึงปัจจุบัน อยู่ที่ประมาณ 9,000 กว่ารายราย ยังรักษาตัวประมาณ 1,700 กว่าราย และรักษาหายแล้ว 7,200 กว่าราย ขณะที่ภาพรวมตลอด 1 ปีที่ผ่าน เราจะพบเด็กที่ติดโควิดจากเชื้อ SARS-CoV-2 ซึ่งภาพรวมของประเทศจะพบอยู่ที่ ร้อยละ 13 ของผู้ป่วยทั้งหมด แต่ส่วนใหญ่จะไม่พบอาการรุนแรง หรือไม่แสดงอาการเลย นอกจากเด็กที่เป็นโรคอ้วนซึ่งก็เป็นส่วนน้อย ส่วนที่สุพรรณบุรี ในกลุ่มเด็กที่มีอายุต่ำกว่า 12 ปี ที่ติดเชื้อโควิดอยู่จำนวน 978 ราย คิดเป็นร้อยละ 10.45 ยังต่ำกว่าระดับประเทศ แต่การดูแลรักษาจะต้องมีการดูแลรักษาและระมัดระวังเป็นพิเศษ เนื่องจากเด็กบางคนยังช่วยเหลือตัวเองไม่ได้ โดยมีเงื่อนไขแบ่งเป็น 3 กรณี คือ 1. เด็กและผู้ปกครอง/คนในครอบครัวติดด้วย ซึ่งสามารถดูแลควบคู่ไปด้วยได้  2. เด็กติดเชื้อ แต่ผู้ปกครองไม่ติด ผู้ปกครองที่จะมาดูแลเด็ก อายุต้องไม่เกิน 60 ปี และต้องสวมแมส 100 % ห้ามใช้มือสัมผัส ปาก จมูก  3. ผู้ปกครองติด เด็กไม่ติด แต่เด็กติดผู้ปกครอง ต้องพยายามหาญาติที่เด็กไว้ใจแยกไปต่างหาก หรือหากหลีกเลี่ยงไม่ได้จริงๆ ผู้ปกครองต้องสวมแมสตลอดเวลา ต้องระมัดระวังอย่าใช้มือสัมผัส ปาก จมูก หน้า ตา ของเด็ก ส่วนการรักษาพยาบาลสำหรับเด็ก จะต้องอยู่ในโรงพยาบาลเป็นหลัก มีกุมารแพทย์ดูแล และคอยให้คำปรึกษา และคำแนะนำกับผู้ปกครอง ตลอดจนการพูดคุยตามหลักจิตวิทยาเพื่อให้ทั้งเด็กและผู้ปกครองคลายความวิตกกังวล"
9,"นางสุนิสา รามแก้ว ประชาสัมพันธ์จังหวัดสุราษฎร์ธานี กล่าวว่า คณะรัฐมนตรีมีมติอนุมัติวงเงิน 4,745 ล้านบาท สำหรับการจัดซื้อวัคซีนไฟเซอร์ เพิ่มเติมอีก จำนวน 9,998,820 โดส เพื่อเสริมสร้างภูมิคุ้มกันโรคแก่กลุ่มเป้าหมายหลัก 6 กลุ่ม ได้แก่ กลุ่มเด็กอายุ 12-17 ปี หญิงตั้งครรภ์ที่มีอายุครรภ์ตั้งแต่ 12 สัปดาห์ขึ้นไป บุคลากรทางการแพทย์และสาธารณสุขด่านหน้า(ฉีดกระตุ้นภูมิเข็มที่หนึ่ง) ผู้สูงอายุและผู้มีกลุ่ม 7 โรคเสี่ยง ชาวต่างชาติที่อาศัยอยู่ในประเทศไทย เน้นผู้สูงอายุ และโรคเรื้อรัง และผู้ที่มีความจำเป็นต้องการฉีดวัคซีนไฟเซอร์ก่อนเดินทางไปต่างประเทศ เช่น นักเรียน นักศึกษา นักกีฬา นักการทูต เป็นต้น โดยกลุ่มเป้าหมายสามารถปรับเปลี่ยนให้สอดคล้องกับสถานการณ์การแพร่ระบาดของโรคได้"
